"","Occupation","Category","WomenAverageAnnualSalary","MenAverageAnnualSalary","PayGap","PayGapAsAPercentage","Country","Currency","WomenAverageAnnualSalaryEUR","MenAverageAnnualSalaryEUR","salaryGapEUR"
"191","Designers","creative & media",25025,30506,5481,0.219,"UK","UKP",29279.25,35692.02,6412.77
"192","Arts producers","creative & media",32031,37920,5889,0.1839,"UK","UKP",37476.27,44366.4,6890.13
"193","Public relations","creative & media",25536,28820,3284,0.1286,"UK","UKP",29877.12,33719.4,3842.28
"194","Web design","creative & media",26180,28990,2810,0.1073,"UK","UKP",30630.6,33918.3,3287.7
"195","Media professionals","creative & media",28585,32236,3651,0.1277,"UK","UKP",33444.45,37716.12,4271.67
"196","Business & media","creative & media",31168,37212,6044,0.1939,"UK","UKP",36466.56,43538.04,7071.48
"197","Advertising","creative & media",34179,40084,5905,0.1728,"UK","UKP",39989.43,46898.28,6908.85
"198","Law & justice","law & justice",28875,31795,2920,0.1193,"UK","UKP",33783.75,37200.15,3416.39999999999
"199","Community police","law & justice",25500,26282,782,0.0307,"UK","UKP",29835,30749.94,914.939999999999
"200","Prison service","law & justice",22634,28486,5852,0.2585,"UK","UKP",26481.78,33328.62,6846.84
"201","Legal associate","law & justice",22645,31142,8497,0.3752,"UK","UKP",26494.65,36436.14,9941.49
"202","Protective services","law & justice",30464,34016,3552,0.1166,"UK","UKP",35642.88,39798.72,4155.84
"203","Police officers","law & justice",34715,40275,5560,0.1602,"UK","UKP",40616.55,47121.75,6505.2
"204","Senior police","law & justice",59871,57701,-2170,-0.0362,"UK","UKP",70049.07,67510.17,-2538.89999999999
"205","Probation officers","law & justice",29767,31777,2010,0.0675,"UK","UKP",34827.39,37179.09,2351.7
"206","Solicitors","law & justice",37734,42998,5264,0.1395,"UK","UKP",44148.78,50307.66,6158.88
"207","Traffic wardens","law & justice",20023,18630,-1393,-0.0696,"UK","UKP",23426.91,21797.1,-1629.81
"208","Security","law & justice",19426,20096,670,0.0345,"UK","UKP",22728.42,23512.32,783.900000000001
"209","Debt collectors","law & justice",14845,18338,3493,0.2353,"UK","UKP",17368.65,21455.46,4086.81
"210","Manual work","manual work",16513,22529,6015,0.3809,"UK","UKP",19320.21,26358.93,7038.72
"211","Packers","manual work",14343,17865,3522,0.2456,"UK","UKP",16781.31,20902.05,4120.74
"212","Agricultural","manual work",11925,18458,6533,0.5478,"UK","UKP",13952.25,21595.86,7643.61
"213","Plant operatives","manual work",14272,18894,4622,0.3239,"UK","UKP",16698.24,22105.98,5407.74
"214","Trades","manual work",14115,19061,4946,0.3504,"UK","UKP",16514.55,22301.37,5786.82
"215","Construction","manual work",18696,20442,1746,0.0934,"UK","UKP",21874.32,23917.14,2042.82
"216","Sewing machinists","manual work",13510,17689,4179,0.3093,"UK","UKP",15806.7,20696.13,4889.43
"217","Factory operatives","manual work",14526,18480,3954,0.2722,"UK","UKP",16995.42,21621.6,4626.18
"218","Process operatives","manual work",14688,20362,5674,0.3863,"UK","UKP",17184.96,23823.54,6638.58
"219","Metal working","manual work",16285,20943,4658,0.286,"UK","UKP",19053.45,24503.31,5449.86
"220","Electrical assembly","manual work",17144,21370,4226,0.2465,"UK","UKP",20058.48,25002.9,4944.42
"221","AS A WHOLE","manual work",15405,22698,7293,0.4734,"UK","UKP",18023.85,26556.66,8532.81
"222","Assemblers","manual work",15980,23391,7411,0.4638,"UK","UKP",18696.6,27367.47,8670.87
"223","Print assistants","manual work",16120,23547,7427,0.4607,"UK","UKP",18860.4,27549.99,8689.59
"224","Construction manager","manual work",23216,34799,11583,0.4989,"UK","UKP",27162.72,40714.83,13552.11
"225","Skilled agricultural","manual work",15138,18305,3167,0.2092,"UK","UKP",17711.46,21416.85,3705.39
"226","Textiles & printing","manual work",12949,18769,5820,0.4495,"UK","UKP",15150.33,21959.73,6809.4
"227","Furniture makers","manual work",20081,20276,195,0.0097,"UK","UKP",23494.77,23722.92,228.150000000001
"228","Crafts & decorators","manual work",15287,20457,5170,0.3382,"UK","UKP",17885.79,23934.69,6048.9
"229","Skilled trades","manual work",14754,20684,5930,0.4019,"UK","UKP",17262.18,24200.28,6938.1
"230","Printing & binding","manual work",14190,20927,6737,0.4748,"UK","UKP",16602.3,24484.59,7882.29
"231","Textiles","manual work",12938,21862,8924,0.6898,"UK","UKP",15137.46,25578.54,10441.08
"232","Leatherwork","manual work",14146,22779,8633,0.6103,"UK","UKP",16550.82,26651.43,10100.61
"233","Printing trades","manual work",14734,23569,8835,0.5996,"UK","UKP",17238.78,27575.73,10336.95
"234","Metalwork","manual work",15074,25544,10470,0.6946,"UK","UKP",17636.58,29886.48,12249.9
"235","Instrument making","manual work",17952,28088,10136,0.5646,"UK","UKP",21003.84,32862.96,11859.12
"236","Electrical trades","manual work",23358,28238,4880,0.2089,"UK","UKP",27328.86,33038.46,5709.6
"237","Electricians","manual work",24102,29666,5564,0.2309,"UK","UKP",28199.34,34709.22,6509.88
"238","Trade supervisors","manual work",27448,33642,6194,0.2257,"UK","UKP",32114.16,39361.14,7246.98
"239","Sales & serving others","sales & serving others",18469,22765,4296,0.2812,"UK","UKP",21608.73,26635.05,5026.32
"240","Caretakers","sales & serving others",12680,17532,4852,0.3826,"UK","UKP",14835.6,20512.44,5676.84
"241","Insurance clerks","sales & serving others",18654,21374,2720,0.1458,"UK","UKP",21825.18,25007.58,3182.4
"242","Bank & post office","sales & serving others",16533,21590,5057,0.3059,"UK","UKP",19343.61,25260.3,5916.69
"243","Careers advisors","sales & serving others",22207,25789,3582,0.1613,"UK","UKP",25982.19,30173.13,4190.94
"244","Vocational trainers","sales & serving others",22706,27341,4635,0.2041,"UK","UKP",26566.02,31988.97,5422.95
"245","Marketing associates","sales & serving others",23725,29316,5591,0.2357,"UK","UKP",27758.25,34299.72,6541.47
"246","Public services","sales & serving others",25287,30302,5015,0.1983,"UK","UKP",29585.79,35453.34,5867.55
"247","Fire service","sales & serving others",29782,30968,1186,0.0398,"UK","UKP",34844.94,36232.56,1387.62
"248","Buyers","sales & serving others",27010,32851,5841,0.2163,"UK","UKP",31601.7,38435.67,6833.97
"249","Health & safety","sales & serving others",29837,34421,4584,0.1536,"UK","UKP",34909.29,40272.57,5363.28
"250","Insurance","sales & serving others",28208,35113,6905,0.2448,"UK","UKP",33003.36,41082.21,8078.85
"251","Sales & marketing","sales & serving others",28000,38261,10261,0.3665,"UK","UKP",32760,44765.37,12005.37
"252","Accounts managers","sales & serving others",28360,42512,14152,0.499,"UK","UKP",33181.2,49739.04,16557.84
"253","Sales accounts","sales & serving others",35449,45359,9910,0.2796,"UK","UKP",41475.33,53070.03,11594.7
"254","Housekeeping","sales & serving others",11330,17101,5771,0.5094,"UK","UKP",13256.1,20008.17,6752.07
"255","Undertakers","sales & serving others",15672,17586,1914,0.1221,"UK","UKP",18336.24,20575.62,2239.38
"256","Cleaning managers","sales & serving others",12292,18490,6198,0.5042,"UK","UKP",14381.64,21633.3,7251.66
"257","Leisure & travel","sales & serving others",14308,18941,4633,0.3238,"UK","UKP",16740.36,22160.97,5420.61
"258","Travel agents","sales & serving others",14974,22505,7531,0.5029,"UK","UKP",17519.58,26330.85,8811.27
"259","Rail travel clerks","sales & serving others",26512,31525,5013,0.1891,"UK","UKP",31019.04,36884.25,5865.21
"260","Bar staff","sales & serving others",5588,7570,1982,0.3547,"UK","UKP",6537.96,8856.9,2318.94
"261","Cleaners & domestics","sales & serving others",6063,8834,2771,0.457,"UK","UKP",7093.71,10335.78,3242.07
"262","Elementary services","sales & serving others",7100,9151,2051,0.2889,"UK","UKP",8307,10706.67,2399.67
"263","Kitchen & catering","sales & serving others",7785,9919,2134,0.2741,"UK","UKP",9108.45,11605.23,2496.78
"264","Cleaning occupations","sales & serving others",6244,11686,5442,0.8716,"UK","UKP",7305.48,13672.62,6367.14
"265","Shelf fillers","sales & serving others",10001,13312,3311,0.3311,"UK","UKP",11701.17,15575.04,3873.87
"266","Valeters","sales & serving others",15183,14632,-551,-0.0363,"UK","UKP",17764.11,17119.44,-644.670000000002
"267","Storage","sales & serving others",14263,18676,4413,0.3094,"UK","UKP",16687.71,21850.92,5163.21
"268","Refuse","sales & serving others",12571,19289,6718,0.5344,"UK","UKP",14708.07,22568.13,7860.06
"269","Postal workers","sales & serving others",16303,22974,6671,0.4092,"UK","UKP",19074.51,26879.58,7805.07
"270","Restaurant managers","sales & serving others",19138,22421,3283,0.1715,"UK","UKP",22391.46,26232.57,3841.11
"271","Hospitality managers","sales & serving others",21102,25036,3934,0.1864,"UK","UKP",24689.34,29292.12,4602.78
"272","Van drivers","sales & serving others",12572,18214,5642,0.4488,"UK","UKP",14709.24,21310.38,6601.14
"273","Lorry drivers","sales & serving others",14567,21741,7174,0.4925,"UK","UKP",17043.39,25436.97,8393.58
"274","Bus & coach drivers","sales & serving others",18558,22081,3523,0.1898,"UK","UKP",21712.86,25834.77,4121.91
"275","Drivers","sales & serving others",41793,40498,-1295,-0.031,"UK","UKP",48897.81,47382.66,-1515.15
"276","Train & tram drivers","sales & serving others",48422,47943,-479,-0.0099,"UK","UKP",56653.74,56093.31,-560.43
"277","Welfare officers","sales & serving others",29070,25719,-3351,-0.1153,"UK","UKP",34011.9,30091.23,-3920.67
"278","Pharmacists","sales & serving others",34039,44554,10515,0.3089,"UK","UKP",39825.63,52128.18,12302.55
"279","Cashiers","sales & serving others",7908,9958,2050,0.2592,"UK","UKP",9252.36,11650.86,2398.5
"280","Sales assistants","sales & serving others",7847,11720,3873,0.4936,"UK","UKP",9180.99,13712.4,4531.41
"281","Retail cashiers","sales & serving others",8081,12029,3948,0.4886,"UK","UKP",9454.77,14073.93,4619.16
"282","Sales","sales & serving others",8496,13289,4793,0.5641,"UK","UKP",9940.32,15548.13,5607.81
"283","Call centres","sales & serving others",14346,15459,1113,0.0776,"UK","UKP",16784.82,18087.03,1302.21
"284","Customer services","sales & serving others",13669,17485,3816,0.2792,"UK","UKP",15992.73,20457.45,4464.72
"285","Sales supervisors","sales & serving others",15953,19138,3185,0.1996,"UK","UKP",18665.01,22391.46,3726.45
"286","Car sales","sales & serving others",16659,20804,4145,0.2488,"UK","UKP",19491.03,24340.68,4849.65
"287","Communications","sales & serving others",24321,29496,5175,0.2128,"UK","UKP",28455.57,34510.32,6054.75
"288","Service managers","sales & serving others",23612,29789,6177,0.2616,"UK","UKP",27626.04,34853.13,7227.09
"289","Cooks","sales & serving others",9675,12401,2726,0.2818,"UK","UKP",11319.75,14509.17,3189.42
"290","Chefs","sales & serving others",15785,17567,1782,0.1129,"UK","UKP",18468.45,20553.39,2084.94
"291","Food preparation","sales & serving others",12579,17598,5019,0.399,"UK","UKP",14717.43,20589.66,5872.23
"292","Bakers","sales & serving others",14161,17922,3761,0.2656,"UK","UKP",16568.37,20968.74,4400.37
"293","Catering managers","sales & serving others",15705,19008,3303,0.2103,"UK","UKP",18374.85,22239.36,3864.51
"294","Vehicle trades","sales & serving others",23120,25271,2151,0.093,"UK","UKP",27050.4,29567.07,2516.67
"295","Science, tech & engineering","science, tech & engineering",27826,34185,6360,0.2537,"UK","UKP",32556.42,39996.45,7440.03
"296","Conservation workers","science, tech & engineering",22106,23488,1382,0.0625,"UK","UKP",25864.02,27480.96,1616.94
"297","Lab technicians","science, tech & engineering",16471,24094,7623,0.4628,"UK","UKP",19271.07,28189.98,8918.91
"298","Pharmaceutical techs","science, tech & engineering",19017,25958,6941,0.365,"UK","UKP",22249.89,30370.86,8120.97
"299","Town planners","science, tech & engineering",29183,27725,-1458,-0.05,"UK","UKP",34144.11,32438.25,-1705.86
"300","IT technicians","science, tech & engineering",23927,28435,4508,0.1884,"UK","UKP",27994.59,33268.95,5274.36
"301","Medical technicians","science, tech & engineering",20201,28853,8652,0.4283,"UK","UKP",23635.17,33758.01,10122.84
"302","IT user support","science, tech & engineering",23316,28922,5606,0.2404,"UK","UKP",27279.72,33838.74,6559.02
"303","Science technicians","science, tech & engineering",19387,29271,9884,0.5098,"UK","UKP",22682.79,34247.07,11564.28
"304","Production techs","science, tech & engineering",22168,30934,8766,0.3954,"UK","UKP",25936.56,36192.78,10256.22
"305","Engineering techs","science, tech & engineering",26751,33725,6974,0.2607,"UK","UKP",31298.67,39458.25,8159.58
"306","Animal control","science, tech & engineering",14880,19210,4330,0.291,"UK","UKP",17409.6,22475.7,5066.1
"307","Routine inspectors","science, tech & engineering",18033,25031,6998,0.3881,"UK","UKP",21098.61,29286.27,8187.66
"308","Machine operatives","science, tech & engineering",13814,25280,11466,0.83,"UK","UKP",16162.38,29577.6,13415.22
"309","Chemical operatives","science, tech & engineering",15840,25768,9928,0.6268,"UK","UKP",18532.8,30148.56,11615.76
"310","Environment","science, tech & engineering",27779,30093,2314,0.0833,"UK","UKP",32501.43,35208.81,2707.38
"311","Conservation","science, tech & engineering",25520,30143,4623,0.1812,"UK","UKP",29858.4,35267.31,5408.91
"312","Medical radiographer","science, tech & engineering",29027,32519,3492,0.1203,"UK","UKP",33961.59,38047.23,4085.64
"313","Environmental health","science, tech & engineering",29714,32551,2837,0.0955,"UK","UKP",34765.38,38084.67,3319.29
"314","Town planning","science, tech & engineering",25029,32929,7900,0.3156,"UK","UKP",29283.93,38526.93,9243
"315","Chartered surveyors","science, tech & engineering",28293,34534,6241,0.2206,"UK","UKP",33102.81,40404.78,7301.97
"316","Quality control","science, tech & engineering",31974,35577,3603,0.1127,"UK","UKP",37409.58,41625.09,4215.51
"317","Architects","science, tech & engineering",29858,36006,6148,0.2059,"UK","UKP",34933.86,42127.02,7193.16
"318","Social scientists","science, tech & engineering",32007,36268,4261,0.1331,"UK","UKP",37448.19,42433.56,4985.37
"319","Natural scientists","science, tech & engineering",31500,36367,4867,0.1545,"UK","UKP",36855,42549.39,5694.39
"320","Quality & regulatory","science, tech & engineering",34343,36867,2524,0.0735,"UK","UKP",40181.31,43134.39,2953.08
"321","Production engineers","science, tech & engineering",31767,37164,5397,0.1699,"UK","UKP",37167.39,43481.88,6314.49
"322","Biological sciences","science, tech & engineering",32039,38102,6063,0.1892,"UK","UKP",37485.63,44579.34,7093.71
"323","Design engineers","science, tech & engineering",29415,38419,9004,0.3061,"UK","UKP",34415.55,44950.23,10534.68
"324","Quality assurance","science, tech & engineering",35054,38820,3766,0.1074,"UK","UKP",41013.18,45419.4,4406.21999999999
"325","Civil engineers","science, tech & engineering",30472,38906,8434,0.2768,"UK","UKP",35652.24,45520.02,9867.78
"326","Engineering","science, tech & engineering",32165,38972,6807,0.2116,"UK","UKP",37633.05,45597.24,7964.19
"327","Quantity surveyors","science, tech & engineering",32099,39773,7674,0.2391,"UK","UKP",37555.83,46534.41,8978.58
"328","Science & technology","science, tech & engineering",32500,39837,7337,0.2258,"UK","UKP",38025,46609.29,8584.28999999999
"329","Programmers","science, tech & engineering",33973,40145,6172,0.1817,"UK","UKP",39748.41,46969.65,7221.24
"330","IT & telecoms","science, tech & engineering",34215,41148,6933,0.2026,"UK","UKP",40031.55,48143.16,8111.61
"331","Systems & analysis","science, tech & engineering",35935,42053,6118,0.1703,"UK","UKP",42043.95,49202.01,7158.06
"332","Electrical engineers","science, tech & engineering",42599,43382,783,0.0184,"UK","UKP",49840.83,50756.94,916.110000000001
"333","IT specialists","science, tech & engineering",34347,45775,11428,0.3327,"UK","UKP",40185.99,53556.75,13370.76
"334","Project managers","science, tech & engineering",34306,46272,11966,0.3488,"UK","UKP",40138.02,54138.24,14000.22
"335","IT project managers","science, tech & engineering",38812,51863,13051,0.3363,"UK","UKP",45410.04,60679.71,15269.67
"336","Aircraft maintenance","science, tech & engineering",25705,34575,8870,0.3451,"UK","UKP",30074.85,40452.75,10377.9
"337","Inspectors","science, tech & engineering",23135,30023,6888,0.2977,"UK","UKP",27067.95,35126.91,8058.96
"338","Senior managers & execs","senior managers & execs",32171,41028,8857,0.2823,"UK","UKP",37640.07,48002.76,10362.69
"339","Credit controllers","senior managers & execs",19783,22746,2963,0.1498,"UK","UKP",23146.11,26612.82,3466.71
"340","Finance officers","senior managers & execs",21734,23285,1551,0.0714,"UK","UKP",25428.78,27243.45,1814.67
"341","Office supervisors","senior managers & execs",21563,26939,5376,0.2493,"UK","UKP",25228.71,31518.63,6289.92
"342","Office managers","senior managers & execs",25527,33045,7518,0.2945,"UK","UKP",29866.59,38662.65,8796.06
"343","Business","senior managers & execs",23023,30363,7340,0.3188,"UK","UKP",26936.91,35524.71,8587.8
"344","Business execs","senior managers & execs",23615,32000,8385,0.3551,"UK","UKP",27629.55,37440,9810.45
"345","Business associates","senior managers & execs",26332,36000,9668,0.3672,"UK","UKP",30808.44,42120,11311.56
"346","Finance & business","senior managers & execs",26484,36481,9997,0.3775,"UK","UKP",30986.28,42682.77,11696.49
"347","Finance & investing","senior managers & execs",28609,37370,8761,0.3062,"UK","UKP",33472.53,43722.9,10250.37
"348","Taxation experts","senior managers & execs",36155,42357,6202,0.1715,"UK","UKP",42301.35,49557.69,7256.34
"349","Finance technicians","senior managers & execs",28115,46664,18549,0.6598,"UK","UKP",32894.55,54596.88,21702.33
"350","Agricultural manager","senior managers & execs",26000,26170,170,0.0065,"UK","UKP",30420,30618.9,198.900000000001
"351","Leisure managers","senior managers & execs",24949,26175,1226,0.0491,"UK","UKP",29190.33,30624.75,1434.42
"352","Hotel managers","senior managers & execs",18637,26785,8148,0.4372,"UK","UKP",21805.29,31338.45,9533.16
"353","Retail managers","senior managers & execs",19391,28658,9267,0.4779,"UK","UKP",22687.47,33529.86,10842.39
"354","Warehouse managers","senior managers & execs",23489,29454,5965,0.2539,"UK","UKP",27482.13,34461.18,6979.05
"355","Managers","senior managers & execs",24960,29968,5008,0.2006,"UK","UKP",29203.2,35062.56,5859.36
"356","Logistics managers","senior managers & execs",25174,31894,6720,0.2669,"UK","UKP",29453.58,37315.98,7862.4
"357","Care managers","senior managers & execs",28171,32895,4724,0.1677,"UK","UKP",32960.07,38487.15,5527.07999999999
"358","Proprietors","senior managers & execs",26233,34021,7788,0.2969,"UK","UKP",30692.61,39804.57,9111.96
"359","Health proprietors","senior managers & execs",27943,34328,6385,0.2285,"UK","UKP",32693.31,40163.76,7470.45
"360","Waste managers","senior managers & execs",32581,37669,5088,0.1562,"UK","UKP",38119.77,44072.73,5952.96
"361","Practice managers","senior managers & execs",27260,38522,11262,0.4131,"UK","UKP",31894.2,45070.74,13176.54
"362","Production managers","senior managers & execs",32906,42169,9263,0.2815,"UK","UKP",38500.02,49337.73,10837.71
"363","Corporate directors","senior managers & execs",32998,43913,10915,0.3308,"UK","UKP",38607.66,51378.21,12770.55
"364","Health directors","senior managers & execs",38268,45056,6788,0.1774,"UK","UKP",44773.56,52715.52,7941.96
"365","Functional managers","senior managers & execs",31133,46290,15157,0.4868,"UK","UKP",36425.61,54159.3,17733.69
"366","Healthcare managers","senior managers & execs",40345,46929,6584,0.1632,"UK","UKP",47203.65,54906.93,7703.28000000001
"367","Purchasing managers","senior managers & execs",41296,48115,6819,0.1651,"UK","UKP",48316.32,56294.55,7978.23
"368","HR managers","senior managers & execs",39248,50516,11268,0.2871,"UK","UKP",45920.16,59103.72,13183.56
"369","Protective services","senior managers & execs",46099,54879,8780,0.1905,"UK","UKP",53935.83,64208.43,10272.6
"370","Functional directors","senior managers & execs",42228,60000,17772,0.4209,"UK","UKP",49406.76,70200,20793.24
"371","IT directors","senior managers & execs",63328,60215,-3113,-0.0492,"UK","UKP",74093.76,70451.55,-3642.20999999999
"372","Bank managers","senior managers & execs",37129,63133,26004,0.7004,"UK","UKP",43440.93,73865.61,30424.68
"373","Financial managers","senior managers & execs",41662,66000,24338,0.5842,"UK","UKP",48744.54,77220,28475.46
"374","Sales directors","senior managers & execs",58125,69417,11292,0.1943,"UK","UKP",68006.25,81217.89,13211.64
"375","CEOs","senior managers & execs",59048,86551,27503,0.4658,"UK","UKP",69086.16,101264.67,32178.51
"376","Business & research","senior managers & execs",31623,40579,8956,0.2832,"UK","UKP",36998.91,47477.43,10478.52
"377","Business analysts","senior managers & execs",33555,40599,7044,0.2099,"UK","UKP",39259.35,47500.83,8241.48
"378","Economists","senior managers & execs",42405,44133,1728,0.0407,"UK","UKP",49613.85,51635.61,2021.75999999999
"379","Valuers & assessors","senior managers & execs",21883,29872,7989,0.3651,"UK","UKP",25603.11,34950.24,9347.13
